Domain,Topic,Skill,Sub-skill
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions","Identifying parts of an algebraic expression (constant, variable, term, coefficient and factor) using mathematical terminology "
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions",Interpreting parts of an algebraic expression in terms of a context
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions",Understanding one or more parts of an algebraic expression as a single entity
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions",Interpreting one or more parts of an algebraic expression as a single entity in terms of a context
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions",Evaluating algebraic expressions when the variable(s) takes/take on specific values (including order of operations)
Algebra,Algebraic expressions,"Writing, reading, and evaluating algebraic expressions",Writing expressions in different forms to demonstrate how the quantities are related
Algebra,Algebraic expressions,Simplifying algebraic expressions,"Applying properties of operations (commutative, distributive and associative) to generate equivalent expressions"
Algebra,Algebraic expressions,Simplifying algebraic expressions,Identifying when two expressions are equivalent through simplification
Algebra,Algebraic expressions,Simplifying algebraic expressions,Applying properties of operations to add and/or subtract linear expressions
Algebra,Algebraic expressions,Simplifying algebraic expressions,Applying properties of operations to expand and/or factor linear expressions
Algebra,Algebraic expressions,Simplifying algebraic expressions,Applying properties of operations to simplify algebraic expressions involving multiple basic operations
Algebra,Algebraic expressions,Simplifying algebraic expressions,Applying properties of operations to simplify algebraic expressions involving exponents and/or radicals
Algebra,Algebraic expressions,Simplifying algebraic expressions,Applying laws of exponents to simplify algebraic expressions
Algebra,Algebraic expressions,Simplifying algebraic expressions,Using the laws of exponents to transform algebraic expressions for exponential functions
Algebra,Algebraic expressions,Framing algebraic expressions for mathematical and real-world problems,Expressing operations involving both numbers and letters that stand for numbers
Algebra,Algebraic expressions,Framing algebraic expressions for mathematical and real-world problems,Using variables to frame expressions in one variable for real-life problems
Algebra,Algebraic expressions,Operations on rational algebraic expressions,Adding and/or subtracting rational algebraic expressions
Algebra,Algebraic expressions,Operations on rational algebraic expressions,Multiplying two or more rational algebraic expressions
Algebra,Algebraic expressions,Operations on rational algebraic expressions,Rewriting rational algebraic expressions by cancelling out common non-zero factors
Algebra,Algebraic expressions,Operations on rational algebraic expressions,"Writing a(x)/b(x) in the form of q(x) + r(x)/b(x), with the degree of r(x) less than the degree of b(x) using either inspection or technology"
Algebra,Algebraic expressions,Operations on rational algebraic expressions,"Knowing that rational algebraic expressions are closed under the operations of addition, subtraction, multiplication and division"
